#role,name,username,agency,date,picPath
User,neuw,pedpap,ไม่มี,09/10/2022 12:39:34,2022-10-04_1664855847477.png
User,neuw,pedpap,ไม่มี,09/10/2022 12:41:42,2022-10-04_1664855847477.png
User,neuw,pedpap,ไม่มี,09/10/2022 12:43:06,2022-10-04_1664855847477.png
User,neuw,pedpap,ไม่มี,09/10/2022 12:44:05,2022-10-04_1664855847477.png
User,neuw,pedpap,ไม่มี,09/10/2022 12:45:01,2022-10-04_1664855847477.png
User,neuw,pedpap,ไม่มี,09/10/2022 12:47:10,2022-10-04_1664855847477.png
User,neuw,pedpap,ไม่มี,09/10/2022 12:47:46,2022-10-04_1664855847477.png
User,neuw,pedpap,ไม่มี,09/10/2022 12:53:09,2022-10-04_1664855847477.png
User,neuw,pedpap,ไม่มี,09/10/2022 12:53:35,2022-10-04_1664855847477.png
User,neuw,pedpap,ไม่มี,09/10/2022 12:54:03,2022-10-04_1664855847477.png
User,arty,arty,ไม่มี,09/10/2022 12:55:38,2022-10-06_1665039658363.jpg
User,neuw,pedpap,ไม่มี,09/10/2022 12:57:07,2022-10-04_1664855847477.png
User,neuw,pedpap,ไม่มี,09/10/2022 12:59:07,2022-10-04_1664855847477.png
User,arty,arty,ไม่มี,09/10/2022 12:59:21,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 01:00:07,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 01:01:39,2022-10-06_1665039658363.jpg
User,neuw,pedpap,ไม่มี,09/10/2022 01:02:32,2022-10-04_1664855847477.png
User,arty,arty,ไม่มี,09/10/2022 01:03:51,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 01:06:24,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 01:22:53,2022-10-06_1665039658363.jpg
User,neuw,pedpap,ไม่มี,09/10/2022 01:23:05,2022-10-04_1664855847477.png
User,arty,arty,ไม่มี,09/10/2022 01:29:31,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 01:30:12,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 01:31:35,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 01:40:15,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 01:41:44,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 01:47:31,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 01:48:33,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 10:30:27,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2565 12:31:54,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2565 12:34:04,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2565 12:36:31,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2565 12:44:22,2022-10-06_1665039658363.jpg
staff,tyyy,tyy,กองกิจการนิสิต,11/10/2565 12:47:57,profile-user.png
User,arty,arty,ไม่มี,11/10/2565 12:55:41,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2565 01:05:10,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2565 01:05:41,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2565 01:05:55,2022-10-06_1665039658363.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2565 01:06:15,2022-10-06_1665072275909.jpg
=======
User,arty,arty,ไม่มี,08/10/2022 10:42:07,2022-10-06_1665039658363.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 10:50:02,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 10:58:42,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:22:52,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:25:18,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:28:12,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:30:58,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:33:40,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:34:36,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:35:06,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:46:54,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:48:21,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:50:17,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:54:06,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:54:52,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:55:17,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:56:20,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,08/10/2022 11:57:34,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:00:42,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:01:16,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:01:50,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:04:00,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:04:48,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:08:08,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:09:49,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:11:40,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:13:30,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:15:16,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 12:16:04,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 09:53:46,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 09:54:18,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 09:55:06,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 09:57:21,2022-10-06_1665072275909.jpg
User,pariphat46,nat,ไม่มี,09/10/2022 10:59:31,profile-user.png
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,09/10/2022 10:59:42,2022-10-06_1665072275909.jpg
staff,staff_arty_vec,arty_vec,กองยานพาหนะ,09/10/2022 11:15:06,profile-user.png
User,arty,arty,ไม่มี,09/10/2022 11:24:08,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,09/10/2022 11:50:11,2022-10-06_1665039658363.jpg
User,www,qqqqq,ไม่มี,10/10/2022 11:07:25,profile-user.png
User,arty,arty,ไม่มี,10/10/2022 11:09:20,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2022 12:04:28,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2022 12:06:31,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2022 12:08:15,2022-10-06_1665039658363.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:13:16,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:14:12,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:16:21,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:19:50,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:20:24,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:22:41,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:28:11,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:35:00,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:36:30,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:39:25,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:41:37,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:45:21,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:46:32,2022-10-06_1665072275909.jpg
User,arty,arty,ไม่มี,11/10/2022 10:49:29,2022-10-06_1665039658363.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 10:55:51,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 11:32:19,2022-10-06_1665072275909.jpg
User,arty,arty,ไม่มี,11/10/2022 11:35:25,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2022 11:39:24,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2022 11:57:16,2022-10-06_1665039658363.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 12:03:10,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 12:06:25,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 12:06:45,2022-10-06_1665072275909.jpg
>>>>>>> 708856ee491c4b2cae5a7008dba24214abe4418f
User,atu,atu,ไม่มี,11/10/2022 01:21:38,profile-user.png
User,arty,arty,ไม่มี,11/10/2022 01:26:56,2022-10-06_1665039658363.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 01:28:47,2022-10-06_1665072275909.jpg
User,arty,arty,ไม่มี,11/10/2022 01:29:13,2022-10-06_1665039658363.jpg
User,arty,arty,ไม่มี,11/10/2022 01:30:00,2022-10-06_1665039658363.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 01:30:21,2022-10-06_1665072275909.jpg
staff,saac,saacos,สำนักบริการคอมพิวเตอร์,11/10/2022 01:31:23,2022-10-06_1665072275909.jpg
